deVYPkZFpvAdc	JBSSFJeXXnFL	12	95	86	19	28	86	92	0	57	4	89	77	16	93	83	-1	49	17	82	42	83	28
VUbXpTVGa	dh	32	64	42	45	5	25	5	44	21	64	35	31	-1	78	74	44	33	5	0	45	1	47
PHUB	fVwvjFZ	60	4	20	97	54	58	44	0	99	57	97	24	82	89	-4	25	76	5	16	8	56	69
CTMBjPTVhgDihSk	mRIrmlBrKhYNmo	78	24	47	25	39	15	54	37	72	71	35	59	43	56	48	29	91	88	35	96	18	88
PBgXxifw	YgyqjhRryUZrNk	-4	16	25	14	94	20	6	21	69	65	3	30	90	86	15	70	29	6	52	47	4	60
jrxXJXHAxr	ZBnmPHDtsqEE	32	23	100	61	36	65	79	67	83	25	26	6	28	37	2	97	66	2	94	4	57	55
tTbtG	RajgOIJ	20	99	82	83	53	-1	26	22	5	48	58	16	61	15	32	29	4	40	39	64	27	46
mnFMScJAxrdYqC	ynqCCilcvm	51	19	-1	26	26	35	43	4	41	23	14	98	40	31	98	29	-1	88	10	62	-2	81
VEhzcpnumpl	zkWUSEoe	38	22	33	11	13	6	65	45	100	9	96	43	30	3	89	11	21	48	8	-1	10	90
nbLZ	LaZdsovBXtqG	66	10	24	7	55	55	97	53	18	56	-5	24	53	62	62	22	51	9	26	48	83	79
Le	ssOWHDGFHS	81	-3	2	95	81	4	23	50	23	19	75	95	12	86	57	52	20	32	46	14	35	24
BPiJMWPL	lSQdgTsEtDfb	13	-2	44	26	-4	58	100	19	45	62	91	82	13	40	5	0	40	86	92	69	22	76
OrMFRck	gotgJdaWn	28	49	96	1	18	11	23	95	50	3	68	78	57	98	83	-2	76	100	95	67	22	91
StTFsLzuQsYDt	FtlSK	59	14	-2	18	5	-5	-1	12	52	81	0	12	25	72	66	29	84	17	9	96	100	93
biWE	LikmISFt	81	92	61	80	10	95	79	15	-3	98	33	17	98	63	69	12	22	39	74	13	45	15
RluEZmNUnxl	VMiQNlAfUONnaS	80	74	95	5	43	55	41	31	65	97	85	6	5	93	31	73	85	87	46	73	89	64
nIAEBuBQGXCrNXQ	fTqvKIMQVj	88	94	7	43	99	27	50	2	35	52	86	60	75	90	7	-4	12	46	63	77	12	60
JoegpQiqWrGr	FiANwLQBeZiZztq	3	80	95	49	58	53	1	28	63	30	41	31	57	37	44	37	10	39	10	96	48	29
uLxKvRguE	aEtC	3	6	79	24	50	99	70	55	35	13	5	39	71	72	69	76	23	51	14	8	28	18
CCjRBbGsLQuVE	jdvjEfBu	62	40	76	1	52	41	87	2	51	39	58	100	20	64	62	45	72	47	40	83	17	77
DwqpUAhGna	LFsT	17	73	23	44	74	91	6	11	94	27	47	68	56	89	67	25	43	31	82	10	26	32
mXcbT	SdUcw	51	28	65	100	64	46	41	21	9	7	74	95	79	89	71	59	80	96	61	43	75	39
btm	gc	78	27	54	19	53	69	63	26	95	41	47	65	-1	26	92	97	75	98	68	92	73	27
jLlZ	UIINWojfEDDKus	37	35	52	84	43	52	82	20	47	38	23	13	46	22	90	12	87	57	57	2	97	20
OEsqryKhNj	OlUYqT	21	54	-5	90	25	53	53	37	94	-1	23	87	32	34	89	35	31	78	90	23	88	55
edlGZjdrh	yDq	6	57	46	25	43	85	53	90	-5	74	9	-4	52	90	56	15	65	31	9	24	96	76
XnjOImRReX	iJq	7	89	38	22	16	35	49	7	93	36	7	67	66	27	60	21	95	-5	65	47	37	9
apUUFtOQNQixLs	SOqZORbtpbt	3	6	77	98	91	59	51	15	8	83	96	43	99	33	13	5	97	49	81	45	35	21
tdq	GHibAJ	85	93	33	29	30	29	84	10	79	18	68	94	45	66	41	42	-5	33	67	57	33	-3
yTJixMYoKvSIIJc	ArEI	44	45	83	88	39	7	73	81	15	49	91	81	34	65	55	66	72	67	64	35	76	96
XbjIwQXb	havuAJfwVUedFfY	48	55	74	51	21	42	9	27	86	-3	27	65	34	55	74	50	31	22	61	7	56	52
QmmMqeeNOm	vMUGdXYwzNW	-5	76	5	48	100	3	60	14	40	57	39	59	59	91	37	0	99	31	53	52	28	97
WHQKZGM	qdMwgPooNgHOh	-2	90	82	80	81	25	-4	29	12	82	73	21	63	16	29	47	91	20	97	14	35	98
dYduDf	ruBELoRwQtL	13	58	96	97	26	75	88	6	34	3	93	92	73	55	89	96	12	2	47	21	42	23
xDFaPqZHQ	tMTkiSjCMWBsi	69	22	67	86	59	7	33	83	41	81	50	82	43	75	22	97	26	-4	17	0	96	19
asgPZhlcxwcGd	ICSqvQVplvONAg	2	27	85	97	55	97	39	13	43	54	28	96	30	38	52	8	40	89	37	55	8	18
InCOwNYzPLF	qPUvTl	76	10	42	60	37	28	28	93	0	66	86	97	78	65	47	11	79	73	33	32	69	43
mQNtMHtDnLNSsTQ	dCnjem	60	14	67	77	65	92	37	38	94	36	22	70	78	52	84	83	83	72	47	32	-5	95
XxL	EqVwoO	68	38	39	83	52	53	54	-2	90	87	98	60	31	63	45	0	3	-4	80	19	44	0
uvviYKeevu	eHccxxZzB	54	98	14	44	1	14	52	46	3	45	13	90	75	49	88	3	18	46	81	86	52	26
pqYJ	seulnDudiOqsvO	65	52	83	50	66	90	74	25	49	75	99	90	95	55	-1	94	31	22	85	90	58	19
znBCdQyTEx	NEQOkwyQRuevWc	81	-5	28	13	86	54	45	57	96	35	91	89	57	76	57	5	8	84	1	15	45	75
ubBYrfWE	MDnz	27	82	80	3	88	58	68	88	59	55	82	94	30	35	4	5	20	69	-3	65	79	84
zIbiorCzDnTCTy	EXe	71	-1	92	35	61	1	10	24	35	48	19	56	76	1	91	98	91	60	54	12	55	11
AHFZACWG	qTQB	5	36	91	97	53	63	73	37	5	34	91	18	76	94	34	17	15	91	55	47	57	17
vgtAsRKUHYolT	PPj	75	26	87	57	75	20	48	59	80	68	-5	29	60	5	61	91	5	75	24	31	97	11
yvGXlpuNTkTVNU	vHVus	94	62	28	59	29	85	4	29	15	21	92	85	30	60	41	29	38	78	89	84	37	92
eKfT	tlwvHvPpaTnErc	4	36	90	1	25	5	64	-2	35	88	97	17	-3	74	35	77	97	12	94	24	84	20
ozMQfxlkcQNIZry	PVktHvCTYwBU	74	80	50	27	65	81	86	23	-4	80	2	57	14	88	10	46	67	57	66	43	60	4
ydShaPsRnpceV	WqjgzcKjzCp	-4	75	89	84	28	84	64	76	43	19	8	44	-1	46	37	42	98	9	17	38	73	35
jDeBYjMbnIz	VwZTf	48	17	18	82	83	55	12	17	6	32	17	79	79	98	94	12	13	52	55	84	53	-3
aJJFYIQaKaIxSq	cPtcthtkW	11	98	10	33	48	26	48	16	93	14	75	37	71	31	97	22	58	68	97	88	71	47
bgdTnJfCwTUN	wbXRUWhmzl	78	84	67	82	5	53	89	25	3	16	3	90	78	74	42	86	15	82	56	10	89	18
fVHxqQYTItnXgOB	iSzsQTSfJ	22	73	24	79	65	89	82	71	67	27	65	68	38	2	77	94	59	70	8	28	70	74
IOFvTUgMAGqDZ	ytOjYTlNQydb	66	78	2	35	32	-3	49	19	35	36	76	40	82	7	81	2	0	5	32	49	28	94
fqGdo	hX	64	2	80	40	47	93	84	27	27	89	37	64	37	70	89	59	9	16	32	69	3	58
hoOOVdnBhqwPgBI	pZrTfSsGxKcMmvF	57	59	11	45	58	76	86	70	18	-5	28	58	29	15	10	66	-1	44	51	87	16	28
wUpAsABhMEWtq	rklxUgSCIlZO	53	91	79	34	92	37	-2	6	49	70	24	44	27	67	71	70	36	60	44	66	2	31
iJC	kxrrHXSMvDH	44	54	10	54	30	25	90	6	66	15	40	97	56	40	46	2	43	80	33	79	-4	40
bUhBZZ	GVle	45	82	56	19	93	21	-3	94	66	76	41	87	54	17	45	45	51	84	11	38	64	68
dO	neEPHVVJasti	13	54	76	58	6	14	65	70	93	20	4	80	100	68	27	-5	61	31	66	61	82	50
zHRWcfo	RVH	32	91	22	24	21	20	91	3	1	4	90	49	27	21	39	26	51	0	76	35	41	51
vYkG	AGgHZagmqPU	23	52	34	35	65	20	79	0	43	39	100	95	58	13	32	84	70	10	58	76	20	57
SDjrRAxelqJmq	Ztsoy	93	75	3	74	50	64	51	81	-3	34	55	6	15	55	79	47	18	61	80	-4	32	88
AcgnYDzp	HHyiOxv	11	78	66	85	85	8	19	48	48	65	20	93	60	93	88	35	20	49	71	33	30	92
Iuiv	Ke	94	30	4	41	26	62	65	91	86	84	25	6	32	27	44	67	19	62	61	87	63	99
dDk	phiPJj	63	7	92	38	6	10	0	-2	-4	68	-3	96	9	64	72	51	-2	61	-3	67	10	11
ggfminvAD	oJLsaZ	96	2	67	89	65	94	56	13	52	68	58	85	17	13	17	76	34	22	30	49	0	86
oYZDP	TkqtU	78	1	32	11	60	99	98	98	85	97	31	23	76	1	19	7	88	44	39	43	68	92
DkGGIskySydfKh	LbLJyxJyxNIEr	55	37	33	44	36	100	65	52	91	88	51	15	71	51	8	98	14	64	5	7	44	2
sXWzlKVxgQ	Ht	69	36	85	12	44	11	77	28	19	62	51	74	15	68	41	10	92	57	79	41	70	66
dN	ajPZkZaAChvGe	91	81	95	62	1	78	65	62	29	35	1	29	86	94	5	64	-1	80	25	90	70	59
fAtruyADQgo	gXpzAx	51	47	67	38	54	83	84	87	63	74	83	4	57	14	89	41	67	61	36	84	70	42
AniwHDhZspAu	XTJjZAEJC	83	14	3	42	32	95	90	91	69	50	32	58	9	40	45	58	49	80	63	57	63	61
XkwZoCqnx	TIAsRb	14	55	9	26	48	74	67	70	15	21	26	3	12	8	55	25	65	14	75	5	19	97
dHgXqlEpHPFwCUB	gBmyuAS	52	86	20	19	50	81	35	27	96	81	75	24	60	60	8	35	45	86	9	33	1	36
cDAmOo	jGgqvAMCDupBY	20	36	57	99	51	78	6	25	95	63	6	66	48	51	83	72	73	11	69	-4	83	75
GzMu	WNZuccqRIHEe	80	31	15	93	42	-5	25	21	70	93	56	16	24	47	62	97	82	-1	44	99	57	100
zYkzJeTAWhw	zmruCGjyirtb	8	50	88	90	1	92	26	54	77	-1	83	18	3	4	52	69	55	97	76	52	6	53
TtEVJX	mPoJImY	50	92	6	6	68	7	100	57	5	72	-1	70	16	28	49	23	63	18	20	9	-4	95
xlX	wWJ	15	46	86	57	49	16	58	71	49	6	25	43	62	50	58	63	44	1	96	79	30	50
OMgCXIRwR	QBFtWNXzDw	14	0	65	82	6	5	1	14	31	70	84	-1	26	72	63	50	68	26	70	74	89	70
EzYtoijGes	egqjpAJ	71	1	67	42	10	63	52	0	-4	-3	28	54	85	58	22	-3	88	99	83	25	37	20
xorSIlpIxiphTe	ANkJPuMdhYluACa	0	38	99	61	36	18	51	54	71	52	-5	90	68	69	81	42	27	68	9	49	12	78
BKi	lBnwvlmTeID	46	51	14	78	65	52	61	9	77	73	64	39	8	6	43	-1	36	32	67	17	21	18
EGCt	gVxncajqVPDia	97	96	46	98	71	37	76	56	24	5	1	25	48	56	95	-3	18	-3	59	91	45	19
dalxcGWznpKfHaB	hl	83	100	69	66	87	1	26	30	9	28	21	5	59	87	38	14	67	59	-5	8	-3	85
QUnMhUmk	ZGulDodXjY	46	93	14	37	33	50	14	85	43	27	4	69	24	38	53	81	10	88	62	78	18	25
ACd	KdVr	17	34	88	26	35	11	69	93	23	11	7	91	20	62	47	100	62	59	0	58	69	23
EdSTUz	uISBmFnDan	24	43	92	35	34	54	67	64	3	57	60	0	15	48	58	21	81	74	20	74	69	51
fgvcpPFnbOsT	nlcIuucvEb	5	40	67	22	36	39	18	44	43	7	0	85	54	68	94	83	96	25	98	29	-1	45
EFKDTs	BGgXgyUUiFJBNvh	35	44	41	78	-4	15	52	39	48	99	75	63	99	67	2	27	95	23	63	26	34	94
mHkL	xosGCi	77	9	59	72	37	22	-3	2	15	-5	64	87	58	51	10	94	3	51	64	36	97	12
nCKkj	HKGPPrXUC	30	61	88	83	3	56	33	61	31	48	96	20	21	-4	83	21	36	80	41	77	7	5
